Designator,Footprint,Quantity,Value,LCSC Part #
"D1_2, D1, D2_2, D2",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4,WS2812B,
"H1_2, H1, H2_2, H2, H3_2, H3, H4_2, H4, H5_2, H5, H6_2, H6, H7_2, H7, H8_2, H8",MountingHole_2.2mm_M2,16,MountingHole,
"J1_2, J1",JST_1x6_2.54,2,Conn_01x06_Pin,
"J10_2, J10, J5_2, J5, J6_2, J6, J7_2, J7, J9_2, J9",PinHeader_1x01_P1.27mm_Vertical,10,Conn_01x01_Pin,
"J2_2, J2",LED_conn,2,Conn_01x03_Pin,
"J3_2, J3",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08_Pin,
"J4_2, J4",JST_1x5_2.54_cablepad,2,Conn_01x05_Pin,
"J8_2, J8",JST_1x6_2.54_cablepad,2,Conn_01x06_Pin,
"R1_2, R1, R11_2, R11, R12_2, R12, R13_2, R13, R14_2, R14, R16_2, R16, R17_2, R17, R18_2, R18, R19_2, R19, R2_2, R2, R3_2, R3, R4_2, R4, R6_2, R6, R7_2, R7, R8_2, R8, R9_2, R9",0805,32,2.4k,
"R10_2, R10, R15_2, R15, R20_2, R20, R5_2, R5",0805,8,24k,
"RV1_2, RV1, RV2_2, RV2, RV3_2, RV3, RV4_2, RV4",pot_9.5x9.5,8,R_Potentiometer_Small,
"SW1_2, SW1, SW2_2, SW2, SW3_2, SW3, SW4_2, SW4",switch_Touchpad,8,SW_MEC_5E,
"U1_2, U1",ESP32_S2_Wemos_Mini,2,~,
"U5_2, U5",9250_MOD,2,~,
"U6_2, U6",6050_MOD,2,6DOF_6050,
"U7_2, U7, U9_2, U9",DIP-8_W7.62mm,4,~,
"U8_2, U8",ADS1115_mod,2,~,
