Designator,Mid X,Mid Y,Rotation,Layer
D1_3,97.106,-57.6806,0.0,top
D1_2,129.606,-57.6806,0.0,top
D1,162.015,-57.7098,0.0,top
D2_3,121.1344,-57.579,180.0,top
D2_2,153.6344,-57.579,180.0,top
D2,186.0434,-57.6082,180.0,top
J1_3,108.671,-43.9458,90.0,top
J1_2,141.171,-43.9458,90.0,top
J1,173.58,-43.975,90.0,top
J2_3,110.131,-39.3958,90.0,bottom
J2_2,142.631,-39.3958,90.0,bottom
J2,175.04,-39.425,90.0,bottom
J3_3,122.841,-110.7758,180.0,top
J3_2,155.341,-110.7758,180.0,top
J3,187.75,-110.805,180.0,top
R1_3,117.717,-46.1828,90.0,top
R1_2,150.217,-46.1828,90.0,top
R1,182.626,-46.212,90.0,top
R10_3,100.953,-42.2708,0.0,top
R10_2,133.453,-42.2708,0.0,top
R10,165.862,-42.3,0.0,top
R11_3,120.003,-52.0568,270.0,top
R11_2,152.503,-52.0568,270.0,top
R11,184.912,-52.086,270.0,top
R12_3,95.619,-52.2788,90.0,top
R12_2,128.119,-52.2788,90.0,top
R12,160.528,-52.308,90.0,top
R13_3,116.447,-52.0568,90.0,top
R13_2,148.947,-52.0568,90.0,top
R13,181.356,-52.086,90.0,top
R14_3,102.223,-52.2788,90.0,top
R14_2,134.723,-52.2788,90.0,top
R14,167.132,-52.308,90.0,top
R15_3,123.559,-93.9348,90.0,top
R15_2,156.059,-93.9348,90.0,top
R15,188.468,-93.964,90.0,top
R16_3,123.5844,-89.3694,90.0,top
R16_2,156.0844,-89.3694,90.0,top
R16,188.4934,-89.3986,90.0,top
R2_3,123.305,-52.0568,270.0,top
R2_2,155.805,-52.0568,270.0,top
R2,188.214,-52.086,270.0,top
R3_3,97.397,-46.1828,90.0,top
R3_2,129.897,-46.1828,90.0,top
R3,162.306,-46.212,90.0,top
R4_3,98.921,-52.3108,90.0,top
R4_2,131.421,-52.3108,90.0,top
R4,163.83,-52.34,90.0,top
R5_3,117.941,-36.5708,0.0,top
R5_2,150.441,-36.5708,0.0,top
R5,182.85,-36.6,0.0,top
R6_3,118.166,-42.9958,180.0,top
R6_2,150.666,-42.9958,180.0,top
R6,183.075,-43.025,180.0,top
R7_3,100.891,-36.6208,180.0,top
R7_2,133.391,-36.6208,180.0,top
R7,165.8,-36.65,180.0,top
R8_3,121.273,-46.2148,90.0,top
R8_2,153.773,-46.2148,90.0,top
R8,186.182,-46.244,90.0,top
R9_3,100.953,-46.1828,90.0,top
R9_2,133.453,-46.1828,90.0,top
R9,165.862,-46.212,90.0,top
SW1_3,101.191,-67.2808,90.0,top
SW1_2,133.691,-67.2808,90.0,top
SW1,166.1,-67.31,90.0,top
SW2_3,101.207,-80.7428,90.0,top
SW2_2,133.707,-80.7428,90.0,top
SW2,166.116,-80.772,90.0,top
SW3_3,116.955,-67.2808,270.0,top
SW3_2,149.455,-67.2808,270.0,top
SW3,181.864,-67.31,270.0,top
SW4_3,116.991,-80.7608,270.0,top
SW4_2,149.491,-80.7608,270.0,top
SW4,181.9,-80.79,270.0,top
U1_3,109.325,-55.155,0.0,top
U1_2,141.825,-55.155,0.0,top
U1,174.234,-55.1842,0.0,top
U2_3,109.335,-95.5788,0.0,top
U2_2,141.835,-95.5788,0.0,top
U2,174.244,-95.608,0.0,top
U3_3,109.171,-116.1758,90.0,top
U3_2,141.671,-116.1758,90.0,top
U3,174.08,-116.205,90.0,top
