Designator,Footprint,Quantity,Value,LCSC Part #
"C1_3, C1_2, C1, C2_3, C2_2, C2, C3_3, C3_2, C3",01005,9,100nF,
"D1_3, D1_2, D1, D2_3, D2_2, D2",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,6,WS2812B,
"H1_3, H1_2, H1, H2_3, H2_2, H2, H3_3, H3_2, H3, H4_3, H4_2, H4, H5_3, H5_2, H5, H6_3, H6_2, H6",MountingHole_2.2mm_M2,18,MountingHole,
"J1_3, J1_2, J1, J2_3, J2_2, J2",PinHeader_1x02_P2.54mm_Vertical,6,Conn_01x02_Pin,
"J3_3, J3_2, J3",PinHeader_1x10_P2.54mm_Vertical,3,Conn_01x10_Pin,
"J4_3, J4_2, J4",RJ45_Ninigi_GE,3,RJ45,
"J5_3, J5_2, J5, J6_3, J6_2, J6, J7_3, J7_2, J7",PinHeader_1x03_P2.54mm_Vertical,9,Conn_01x03_Pin,
"U1_3, U1_2, U1",Wemos_S3_Mini_Outer_Pins,3,~,
"U2_3, U2_2, U2, U3_3, U3_2, U3, U4_3, U4_2, U4, U7_3, U7_2, U7",TOUCH_BAR,12,~,
"U5_3, U5_2, U5",9250_MOD,3,~,
"U6_3, U6_2, U6",6050_MOD,3,6DOF_6050,
