Designator,Mid X,Mid Y,Rotation,Layer
C1_3,97.65,-33.034,180.0,top
C1_2,130.65,-33.034,180.0,top
C1,163.85,-33.034,180.0,top
C2_3,97.625,-36.534,180.0,top
C2_2,130.625,-36.534,180.0,top
C2,163.825,-36.534,180.0,top
C3_3,97.65,-40.034,180.0,top
C3_2,130.65,-40.034,180.0,top
C3,163.85,-40.034,180.0,top
D1_3,99.2,-65.134,180.0,top
D1_2,132.2,-65.134,180.0,top
D1,165.4,-65.134,180.0,top
D2_3,114.85,-65.134,180.0,top
D2_2,147.85,-65.134,180.0,top
D2,181.05,-65.134,180.0,top
J1_3,92.92,-64.984,0.0,top
J1_2,125.92,-64.984,0.0,top
J1,159.12,-64.984,0.0,top
J2_3,120.86,-64.984,0.0,top
J2_2,153.86,-64.984,0.0,top
J2,187.06,-64.984,0.0,top
J3_3,95.46,-71.234,90.0,top
J3_2,128.46,-71.234,90.0,top
J3,161.66,-71.234,90.0,top
J4_3,180.315,-37.189,180.0,top
J4_2,113.82,-37.124,180.0,top
J4,146.82,-37.124,180.0,top
J5_3,97.4,-43.954,0.0,top
J5_2,130.4,-43.954,0.0,top
J5,163.6,-43.954,0.0,top
J6_3,93.4,-39.2,180.0,top
J6_2,126.4,-39.2,180.0,top
J6,159.6,-39.2,180.0,top
J7_3,93.4,-44.034,0.0,top
J7_2,126.4,-44.034,0.0,top
J7,159.6,-44.034,0.0,top
U1_3,106.89,-106.588,270.0,top
U1_2,139.89,-106.588,270.0,top
U1,173.09,-106.588,270.0,top
U2_3,92.285,-104.4175,270.0,top
U2_2,125.285,-104.4175,270.0,top
U2,158.485,-104.4175,270.0,top
U3_3,128.9765,-60.734,0.0,top
U3_2,162.4815,-60.469,0.0,top
U3,195.1765,-60.734,0.0,top
U4_3,121.495,-104.4175,270.0,top
U4_2,154.495,-104.4175,270.0,top
U4,187.695,-104.4175,270.0,top
U5_3,106.89,-87.03,0.0,top
U5_2,139.89,-87.03,0.0,top
U5,173.09,-87.03,0.0,top
U6_3,107.01,-43.534,180.0,top
U6_2,140.01,-43.534,180.0,top
U6,173.21,-43.534,180.0,top
U7_3,121.4,-59.62,270.0,top
U7_2,154.4,-59.62,270.0,top
U7,187.6,-59.62,270.0,top
