Designator,Mid X,Mid Y,Rotation,Layer
D1_6,109.341907,-71.26,180.0,top
D1_5,153.27,-71.27,180.0,top
D1_4,109.361907,-37.152548,180.0,top
D1_3,153.29,-37.162548,180.0,top
D1_2,109.341907,-105.14,180.0,top
D1,153.27,-105.15,180.0,top
D2_6,116.441907,-71.26,180.0,top
D2_5,160.37,-71.27,180.0,top
D2_4,116.461907,-37.152548,180.0,top
D2_3,160.39,-37.162548,180.0,top
D2_2,116.441907,-105.14,180.0,top
D2,160.37,-105.15,180.0,top
J1_6,135.851907,-63.11,90.0,top
J1_5,179.78,-63.12,90.0,top
J1_4,135.871907,-29.002548,90.0,top
J1_3,179.8,-29.012548,90.0,top
J1_2,135.851907,-96.99,90.0,top
J1,179.78,-97.0,90.0,top
J4_6,112.956907,-63.11,90.0,top
J4_5,156.885,-63.12,90.0,top
J4_4,112.976907,-29.002548,90.0,top
J4_3,156.905,-29.012548,90.0,top
J4_2,112.956907,-96.99,90.0,top
J4,156.885,-97.0,90.0,top
R1_6,117.541907,-82.91,270.0,bottom
R1_5,161.47,-82.92,270.0,bottom
R1_4,117.561907,-48.802548,270.0,bottom
R1_3,161.49,-48.812548,270.0,bottom
R1_2,117.541907,-116.79,270.0,bottom
R1,161.47,-116.8,270.0,bottom
R13_6,162.37,-75.72,90.0,bottom
R13_5,118.441907,-75.71,90.0,bottom
R13_4,118.461907,-41.602548,90.0,bottom
R13_3,162.39,-41.612548,90.0,bottom
R13_2,118.441907,-109.59,90.0,bottom
R13,162.37,-109.6,90.0,bottom
R14_6,151.17,-78.82,270.0,bottom
R14_5,107.241907,-78.81,270.0,bottom
R14_4,107.261907,-44.702548,270.0,bottom
R14_3,151.19,-44.712548,270.0,bottom
R14_2,107.241907,-112.69,270.0,bottom
R14,151.17,-112.7,270.0,bottom
R2_6,114.041907,-86.61,0.0,bottom
R2_5,157.97,-86.62,0.0,bottom
R2_4,114.061907,-52.502548,0.0,bottom
R2_3,157.99,-52.512548,0.0,bottom
R2_2,114.041907,-120.49,0.0,bottom
R2,157.97,-120.5,0.0,bottom
R3_6,151.17,-83.82,90.0,bottom
R3_5,107.241907,-83.81,90.0,bottom
R3_4,107.261907,-49.702548,90.0,bottom
R3_3,151.19,-49.712548,90.0,bottom
R3_2,107.241907,-117.69,90.0,bottom
R3,151.17,-117.7,90.0,bottom
R4_6,110.041907,-84.61,90.0,bottom
R4_5,153.97,-84.62,90.0,bottom
R4_4,110.061907,-50.502548,90.0,bottom
R4_3,153.99,-50.512548,90.0,bottom
R4_2,110.041907,-118.49,90.0,bottom
R4,153.97,-118.5,90.0,bottom
R5_6,161.47,-67.62,270.0,bottom
R5_5,117.541907,-67.61,270.0,bottom
R5_4,117.561907,-33.502548,270.0,bottom
R5_3,161.49,-33.512548,270.0,bottom
R5_2,117.541907,-101.49,270.0,bottom
R5,161.47,-101.5,270.0,bottom
R7_6,151.97,-67.62,270.0,bottom
R7_5,108.041907,-67.61,270.0,bottom
R7_4,108.061907,-33.502548,270.0,bottom
R7_3,151.99,-33.512548,270.0,bottom
R7_2,108.041907,-101.49,270.0,bottom
R7,151.97,-101.5,270.0,bottom
R8_6,157.97,-83.62,0.0,bottom
R8_5,114.041907,-83.61,0.0,bottom
R8_4,114.061907,-49.502548,0.0,bottom
R8_3,157.99,-49.512548,0.0,bottom
R8_2,114.041907,-117.49,0.0,bottom
R8,157.97,-117.5,0.0,bottom
R9_6,107.313907,-74.314,90.0,bottom
R9_5,151.242,-74.324,90.0,bottom
R9_4,107.333907,-40.206548,90.0,bottom
R9_3,151.262,-40.216548,90.0,bottom
R9_2,107.313907,-108.194,90.0,bottom
R9,151.242,-108.204,90.0,bottom
SW1_6,112.841907,-82.56,270.0,top
SW1_5,156.77,-82.57,270.0,top
SW1_4,112.861907,-48.452548,270.0,top
SW1_3,156.79,-48.462548,270.0,top
SW1_2,112.841907,-116.44,270.0,top
SW1,156.77,-116.45,270.0,top
SW2_6,112.791907,-66.76,0.0,top
SW2_5,156.72,-66.77,0.0,top
SW2_4,112.811907,-32.652548,0.0,top
SW2_3,156.74,-32.662548,0.0,top
SW2_2,112.791907,-100.64,0.0,top
SW2,156.72,-100.65,0.0,top
U1_6,112.576907,-79.225,90.0,bottom
U1_5,156.505,-79.235,90.0,bottom
U1_4,112.596907,-45.117548,90.0,bottom
U1_3,156.525,-45.127548,90.0,bottom
U1_2,112.576907,-113.105,90.0,bottom
U1,156.505,-113.115,90.0,bottom
U2_6,179.67,-78.51,270.0,bottom
U2_5,135.741907,-78.5,270.0,bottom
U2_4,135.761907,-44.392548,270.0,bottom
U2_3,179.69,-44.402548,270.0,bottom
U2_2,135.741907,-112.38,270.0,bottom
U2,179.67,-112.39,270.0,bottom
U3_6,129.438907,-80.8376,90.0,top
U3_5,173.367,-80.8476,90.0,top
U3_4,173.387,-46.740148,90.0,top
U3_3,129.458907,-46.730148,90.0,top
U3_2,129.438907,-114.7176,90.0,top
U3,173.367,-114.7276,90.0,top
